node-exporter | 2026-02-08 22:56:23.118 | time=2026-02-08T17:26:23.118Z level=INFO source=node_exporter.go:141 msg=stat
node-exporter | 2026-02-08 22:56:23.118 | time=2026-02-08T17:26:23.118Z level=INFO source=node_exporter.go:141 msg=tapestats
node-exporter | 2026-02-08 22:56:23.118 | time=2026-02-08T17:26:23.118Z level=INFO source=node_exporter.go:141 msg=textfile
node-exporter | 2026-02-08 22:56:23.118 | time=2026-02-08T17:26:23.118Z level=INFO source=node_exporter.go:141 msg=thermal_zone
node-exporter | 2026-02-08 22:56:23.118 | time=2026-02-08T17:26:23.118Z level=INFO source=node_exporter.go:141 msg=time
node-exporter | 2026-02-08 22:56:23.118 | time=2026-02-08T17:26:23.118Z level=INFO source=node_exporter.go:141 msg=timex
node-exporter | 2026-02-08 22:56:23.118 | time=2026-02-08T17:26:23.118Z level=INFO source=node_exporter.go:141 msg=udp_queues
node-exporter | 2026-02-08 22:56:23.118 | time=2026-02-08T17:26:23.118Z level=INFO source=node_exporter.go:141 msg=uname
node-exporter | 2026-02-08 22:56:23.118 | time=2026-02-08T17:26:23.118Z level=INFO source=node_exporter.go:141 msg=vmstat
node-exporter | 2026-02-08 22:56:23.118 | time=2026-02-08T17:26:23.118Z level=INFO source=node_exporter.go:141 msg=watchdog
node-exporter | 2026-02-08 22:56:23.118 | time=2026-02-08T17:26:23.118Z level=INFO source=node_exporter.go:141 msg=xfs
node-exporter | 2026-02-08 22:56:23.118 | time=2026-02-08T17:26:23.118Z level=INFO source=node_exporter.go:141 msg=zfs
node-exporter | 2026-02-08 22:56:23.179 | time=2026-02-08T17:26:23.179Z level=INFO source=tls_config.go:346 msg="Listening on" address=[::]:9100
node-exporter | 2026-02-08 22:56:23.179 | time=2026-02-08T17:26:23.179Z level=INFO source=tls_config.go:349 msg="TLS is disabled." http2=false address=[::]:9100
alertmanager  | 2026-02-08 22:56:23.324 | time=2026-02-08T17:26:23.321Z level=INFO source=main.go:191 msg="Starting Alertmanager" version="(version=0.31.0, branch=HEAD, revision=0ae07a09fbb26a7738c867306f32b5f42583a7d2)"
alertmanager  | 2026-02-08 22:56:23.324 | time=2026-02-08T17:26:23.324Z level=INFO source=main.go:194 msg="Build context" build_context="(go=go1.25.6, platform=linux/arm64, user=root@6685da15d415, date=20260202-12:59:54, tags=netgo)"
